year	clipa	grid	dev_desc	species	strainname	nostocked	yreq	events
2003	0	2234	Fry	rainbow trout	Wild	113153	2263	9
2003	0	2234	Yearling	brown trout	Ganaraska River	9000	9000	3
2003	0	2245	Fingerling	chinook salmon	Wild	12100	4840	1
2003	0	2245	Yearling	brown trout	Ganaraska River	4834	4834	1
2003	0	2247	Yearling	rainbow trout	Wild	4970	4970	1
2003	0	2248	Fingerling	chinook salmon	Wild	1780	712	1
2003	0	2248	Yearling	brown trout	Ganaraska River	7157	7157	1
2003	0	2250	Yearling	brown trout	Ganaraska River	3973	3973	1
2003	0	2334	Yearling	brown trout	Ganaraska River	3000	3000	1
2003	0	2432	Yearling	brown trout	Ganaraska River	17918	17918	8
2003	0	2531	Yearling	brown trout	Ganaraska River	18043	18043	9
2003	0	2631	Yearling	brown trout	Ganaraska River	12000	12000	4
2003	0	2829	Yearling	brown trout	Ganaraska River	24644	24644	13
2003	0	3030	Fingerling	rainbow trout	Wild	28000	11200	4
2003	0	3230	Fingerling	rainbow trout	Wild	120000	48000	11
2003	0	3330	Fry	rainbow trout	Wild	26000	520	2
2003	0	3430	Fry	rainbow trout	Wild	52000	1040	4
2003	0	3925	Yearling	brown trout	Ganaraska River	5279	5279	2
2003	0	4022	Adult	rainbow trout	Domestic/Aquaculture	371	371	4
2003	0	4022	Yearling	brown trout	Ganaraska River	32137	32137	3
2003	1	0430	Yearling	lake trout	Iroquois Bay	34913	34913	3
2003	1	0521	Yearling	lake trout	Big Sound	76745	76745	6
2003	1	0521	Yearling	lake trout	Iroquois Bay	74184	74184	4
2003	1	0729	Yearling	lake trout	Iroquois Bay	57982	57982	5
2003	1	0831	Yearling	lake trout	Michipicoten	3287	3287	1
2003	1	0933	Yearling	lake trout	Michipicoten	180179	180179	2
2003	1	1244	Yearling	lake trout	Big Sound	139259	139259	5
2003	1	1246	Yearling	lake trout	Big Sound	162816	162816	5
2003	1	1330	Yearling	lake trout	Michipicoten	64786	64786	4
2003	1	1331	Yearling	lake trout	Michipicoten	198421	198421	7
2003	1	1535	Yearling	lake trout	Slate Island	55101	55101	2
2003	1	1736	Yearling	lake trout	Slate Island	60850	60850	1
2003	1	1939	Yearling	lake trout	Slate Island	59194	59194	2
2003	1	1952	Fingerling	walleye	Unknown	3978	1591	1
2003	1	2043	Yearling	lake trout	Big Sound	79066	79066	4
2003	1	2043	Yearling	lake trout	Seneca Lake	92595	92595	4
2003	1	2143	Yearling	rainbow trout	Wild	6019	6019	1
2003	1	2146	Yearling	lake trout	Slate Island	54529	54529	3
2003	1	2245	Adult	lake trout	Seneca Lake	326	326	1
2003	1	2245	Yearling	rainbow trout	Wild	21988	21988	3
2003	1	2246	Yearling	lake trout	Slate Island	21607	21607	1
2003	1	2247	Fingerling	rainbow trout	Wild	9119	3648	1
2003	1	2247	Yearling	rainbow trout	Wild	13442	13442	2
2003	1	2248	Yearling	rainbow trout	Wild	11898	11898	1
2003	1	2250	Yearling	rainbow trout	Wild	14410	14410	2
2003	1	2729	Yearling	lake trout	Slate Island	63606	63606	3
2003	1	2730	Yearling	lake trout	Slate Island	146913	146913	8
2003	15	1535	Yearling	lake trout	Slate Island	2955	2955	1
2003	2	0513	Fingerling	chinook salmon	Wild	50000	20000	1
2003	2	0521	Fingerling	chinook salmon	Wild	50000	20000	1
2003	2	1835	Fingerling	chinook salmon	Wild	16892	6757	1
2003	2	2135	Fingerling	chinook salmon	Wild	35670	14268	1
2003	2	2139	Fingerling	chinook salmon	Wild	175430	70172	1
2003	2	2234	Fingerling	chinook salmon	Wild	92297	36919	2
2003	2	2631	Fingerling	chinook salmon	Wild	44750	17900	1
2003	2	3828	Fingerling	chinook salmon	Wild	50010	20004	4
2003	2	3926	Fingerling	chinook salmon	Wild	35236	14095	4
2003	2	4022	Fingerling	chinook salmon	Wild	13532	5413	1
2003	2	4024	Fingerling	chinook salmon	Wild	9391	3756	1
2003	25	2139	Fingerling	chinook salmon	Wild	10180	4072	1
2003	3	0331	Adult	lake trout	Iroquois Bay	654	654	2
2003	3	0430	Fingerling	walleye	Wild	8980	3592	1
2003	3	1952	Yearling	brown trout	Ganaraska River	10098	10098	1
2003	3	2053	Yearling	brown trout	Ganaraska River	3188	3188	1
2003	3	2054	Yearling	brown trout	Ganaraska River	5049	5049	2
2003	3	2139	Yearling	rainbow trout	Wild	27158	27158	2
2003	3	2250	Yearling	brown trout	Ganaraska River	5048	5048	1
2003	3	3925	Fingerling	rainbow trout	Domestic/Aquaculture	4516	1807	3
2003	3	4022	Fingerling	rainbow trout	Domestic/Aquaculture	41464	16586	3
2003	4	1937	Yearling	rainbow trout	Wild	22920	22920	3
2003	4	2334	Yearling	rainbow trout	Domestic/Aquaculture	875	875	1
2003	5	0331	Yearling	lake trout	Iroquois Bay	3444	3444	1
2003	5	0430	Yearling	lake trout	Iroquois Bay	9352	9352	1
2003	5	0521	Yearling	lake trout	Big Sound	15641	15641	6
2003	5	0521	Yearling	lake trout	Iroquois Bay	1765	1765	1
2003	5	0729	Yearling	lake trout	Iroquois Bay	11227	11227	1
2003	5	0831	Yearling	lake trout	Michipicoten	278	278	1
2003	5	0927	Yearling	lake trout	Lake Manitou	9425	9425	1
2003	5	0933	Yearling	lake trout	Michipicoten	15209	15209	2
2003	5	1246	Yearling	lake trout	Big Sound	19266	19266	1
2003	5	1330	Yearling	lake trout	Michipicoten	9449	9449	1
2003	5	1349	Yearling	lake trout	Big Sound	5087	5087	1
2003	5	1535	Yearling	lake trout	Slate Island	10116	10116	1
2003	5	1736	Yearling	lake trout	Slate Island	10069	10069	1
2003	5	2043	Yearling	lake trout	Big Sound	30149	30149	1
2003	5	2043	Yearling	lake trout	Seneca Lake	31489	31489	1
2003	5	2245	Adult	lake trout	Big Sound	521	521	1
2003	5	2245	Adult	lake trout	Seneca Lake	409	409	1
2003	5	2246	Yearling	lake trout	Slate Island	10019	10019	1
2003	5	2730	Yearling	lake trout	Slate Island	47816	47816	2
2004	0	0101	Yearling	rainbow trout	Ganaraska River	600	600	1
2004	0	0330	Fingerling	walleye	Wild	17000	6800	1
2004	0	0513	Fingerling	chinook salmon	Wild	52500	21000	1
2004	0	0521	Fingerling	chinook salmon	Wild	52500	21000	1
2004	0	0528	Fingerling	walleye	Wild	38300	15320	1
2004	0	0628	Fingerling	walleye	Wild	38300	15320	1
2004	0	0729	Fingerling	walleye	Wild	19500	7800	1
2004	0	1532	Fry	rainbow trout	Wild	40000	800	1
2004	0	1551	Fingerling	walleye	Wild	1262	505	2
2004	0	1835	Fingerling	chinook salmon	Wild	6319	2528	1
2004	0	1937	Fingerling	chinook salmon	Wild	15000	6000	1
2004	0	1937	Fingerling	rainbow trout	Wild	20000	8000	2
2004	0	1937	Yearling	brown trout	Ganaraska River	31324	31324	3
2004	0	2040	Yearling	brown trout	Ganaraska River	29082	29082	1
2004	0	2135	Fry	rainbow trout	Wild	14000	280	3
2004	0	2139	Fingerling	chinook salmon	Wild	189234	75694	1
2004	0	2139	Fingerling	rainbow trout	Wild	20347	8139	1
2004	0	2139	Yearling	brown trout	Ganaraska River	29082	29082	1
2004	0	2234	Fingerling	chinook salmon	Wild	68711	27484	2
2004	0	2234	Fry	rainbow trout	Wild	168000	3360	16
2004	0	2247	Yearling	brown trout	Ganaraska River	19816	19816	2
2004	0	2248	Yearling	brown trout	Ganaraska River	27856	27856	3
2004	0	2432	Fingerling	brown trout	Ganaraska River	8915	3565	4
2004	0	2531	Fingerling	brown trout	Ganaraska River	5565	2225	3
2004	0	2531	Sub-adult	rainbow trout	Domestic/Aquaculture	25	25	1
2004	0	2631	Fingerling	chinook salmon	Wild	34913	13965	1
2004	0	3030	Fingerling	rainbow trout	Wild	30000	12000	4
2004	0	3230	Fingerling	rainbow trout	Wild	78200	31280	9
2004	0	3330	Fry	rainbow trout	Wild	20000	400	1
2004	0	3430	Fry	rainbow trout	Wild	60000	1200	3
2004	0	3828	Fingerling	chinook salmon	Wild	8373	3349	1
2004	0	3925	Fingerling	chinook salmon	Wild	68017	27208	4
2004	0	3925	Fingerling	rainbow trout	Domestic/Aquaculture	2641	1056	1
2004	0	3925	Yearling	brown trout	Ganaraska River	1361	1361	1
2004	0	4022	Fingerling	rainbow trout	Domestic/Aquaculture	18169	7268	2
2004	0	4022	Yearling	brown trout	Ganaraska River	19848	19848	3
2004	0	4024	Fingerling	chinook salmon	Wild	72178	28870	5
2004	1	1952	Fingerling	walleye	Wild	56	22	1
2004	1	1953	Fingerling	walleye	Wild	300	120	1
2004	1	2143	Yearling	rainbow trout	Wild	3611	3611	1
2004	1	2245	Yearling	rainbow trout	Wild	16760	16760	2
2004	1	2247	Yearling	rainbow trout	Wild	12130	12130	1
2004	1	2248	Yearling	rainbow trout	Wild	8222	8222	2
2004	1	2250	Yearling	rainbow trout	Wild	3867	3867	1
2004	23	0331	Yearling	lake trout	Iroquois Bay	3244	3244	1
2004	23	0430	Yearling	lake trout	Iroquois Bay	60646	60646	5
2004	23	0521	Yearling	lake trout	Big Sound	90045	90045	5
2004	23	0521	Yearling	lake trout	Iroquois Bay	78878	78878	4
2004	23	0620	Yearling	lake trout	Michipicoten	1480	1480	1
